method,task,record_type,selection,cycle,iter,accuracy,final_accuracy,final_cycle,final_iter,peak_accuracy,peak_cycle,peak_iter,peak_minus_final,cand_par,cand_start_cycle,cand_tau,cand_weight,kl_mode,kl_candidate,calib_mode,calib_power,calib_auto_lambda,topo_graph_k,topo_alpha,topo_steps,topo_anchor_ratio,topo_target_mix,graph_teacher_fusion,gtf_apply_to,gtf_strength,gtr_par,gtr_stable_cycles,gtr_memory,gtr_min_graph_conf,gtr_min_disagreement,temporal_diag,pl_expand,pl_topk_per_class,pl_min_conf,pl_memory,pl_stable_cycles,pl_stable_memory,pl_memory_warmup_cycles,pl_memory_min_conf,pl_class_balance,pl_balance_coverage,pl_balance_min_per_class,proto_adapt,proto_mix,proto_temperature,proto_min_per_class,proto_momentum,target_head_adapt,target_head_variant,target_head_mix,target_head_start_cycle,target_head_lr_mult,target_head_ema,target_head_ema_momentum,target_residual_max_gate,target_residual_gate_init,residual_gate_final,trajectory_ensemble,trajectory_snapshot_intervals,pair_flow_rank,pair_flow_min_count,pair_flow_min_cycles,pair_flow_max_gate,pair_flow_gate_init,pair_flow_gate_final,pair_flow_active_rank,pair_feature_adapt,pair_feature_start_cycle,pair_feature_lr_mult,pair_feature_max_gate,pair_feature_gate_init,pair_feature_gate_final,pair_feature_router_norm,tau_low,promote_k,accd_enabled,accd_graph_k,accd_anchor_ratio,accd_anchor_memory,accd_candidate_mass,accd_candidate_margin,accd_stable_cycles,accd_resolution_memory,accd_resolution_target,accd_resolution_action,log
temporal_precision_head_seed2022_pair_feature_probe,AC,standard,peak,4/4,207/276,73.77,73.38,4/4,276/276,73.77,4/4,207/276,0.39,0.0,0,0.0,none,clip,confidence,both_prior,0.5,0.2,15,0.9,20,0.5,-1.0,True,none,0.5,0.05,2,reversible,0.05,0.25,True,none,0,0.0,stable,2,reversible,1,0.0,False,0.75,1,False,0.0,0.2,3,0.0,True,blend,0.3,1,1.0,False,0.99,0.3,-2.0,,False,[2| 3| 4],16,5,2,0.3,-2.0,,12,True,1,1.0,0.05,-2.0,0.005960,0.062525,0.4,999,False,15,0.5,dynamic,0.6,0.1,2,persistent,both,hard_label,output/uda/office-home/AC/temporal_precision_head_seed2022_pair_feature_probe/temporal_precision_head_pair_feature_260719_110413.txt
temporal_precision_head_seed2022_pair_feature_probe,AP,standard,peak,4/4,140/280,91.01,90.92,4/4,280/280,91.01,4/4,140/280,0.09,0.0,0,0.0,none,clip,confidence,both_prior,0.5,0.2,15,0.9,20,0.5,-1.0,True,none,0.5,0.05,2,reversible,0.05,0.25,True,none,0,0.0,stable,2,reversible,1,0.0,False,0.75,1,False,0.0,0.2,3,0.0,True,blend,0.3,1,1.0,False,0.99,0.3,-2.0,,False,[2| 3| 4],16,5,2,0.3,-2.0,,16,True,1,1.0,0.05,-2.0,0.005962,0.060439,0.4,999,False,15,0.5,dynamic,0.6,0.1,2,persistent,both,hard_label,output/uda/office-home/AP/temporal_precision_head_seed2022_pair_feature_probe/temporal_precision_head_pair_feature_260719_110842.txt
temporal_precision_head_seed2022_pair_feature_probe,AR,standard,peak,4/4,276/276,91.05,91.05,4/4,276/276,91.05,4/4,276/276,0.00,0.0,0,0.0,none,clip,confidence,both_prior,0.5,0.2,15,0.9,20,0.5,-1.0,True,none,0.5,0.05,2,reversible,0.05,0.25,True,none,0,0.0,stable,2,reversible,1,0.0,False,0.75,1,False,0.0,0.2,3,0.0,True,blend,0.3,1,1.0,False,0.99,0.3,-2.0,,False,[2| 3| 4],16,5,2,0.3,-2.0,,13,True,1,1.0,0.05,-2.0,0.005961,0.061119,0.4,999,False,15,0.5,dynamic,0.6,0.1,2,persistent,both,hard_label,output/uda/office-home/AR/temporal_precision_head_seed2022_pair_feature_probe/temporal_precision_head_pair_feature_260719_111319.txt
temporal_precision_head_seed2022_pair_feature_probe,CA,standard,peak,4/4,38/152,83.60,83.44,4/4,152/152,83.60,4/4,38/152,0.16,0.0,0,0.0,none,clip,confidence,both_prior,0.5,0.2,15,0.9,20,0.5,-1.0,True,none,0.5,0.05,2,reversible,0.05,0.25,True,none,0,0.0,stable,2,reversible,1,0.0,False,0.75,1,False,0.0,0.2,3,0.0,True,blend,0.3,1,1.0,False,0.99,0.3,-2.0,,False,[2| 3| 4],16,5,2,0.3,-2.0,,2,True,1,1.0,0.05,-2.0,0.005960,0.018214,0.4,999,False,15,0.5,dynamic,0.6,0.1,2,persistent,both,hard_label,output/uda/office-home/CA/temporal_precision_head_seed2022_pair_feature_probe/temporal_precision_head_pair_feature_260719_112836.txt
temporal_precision_head_seed2022_pair_feature_probe,CP,standard,peak,4/4,70/280,90.92,90.74,4/4,280/280,90.92,4/4,70/280,0.18,0.0,0,0.0,none,clip,confidence,both_prior,0.5,0.2,15,0.9,20,0.5,-1.0,True,none,0.5,0.05,2,reversible,0.05,0.25,True,none,0,0.0,stable,2,reversible,1,0.0,False,0.75,1,False,0.0,0.2,3,0.0,True,blend,0.3,1,1.0,False,0.99,0.3,-2.0,,False,[2| 3| 4],16,5,2,0.3,-2.0,,16,True,1,1.0,0.05,-2.0,0.005962,0.057869,0.4,999,False,15,0.5,dynamic,0.6,0.1,2,persistent,both,hard_label,output/uda/office-home/CP/temporal_precision_head_seed2022_pair_feature_probe/temporal_precision_head_pair_feature_260719_113240.txt
temporal_precision_head_seed2022_pair_feature_probe,CR,standard,peak,4/4,207/276,90.77,90.77,4/4,276/276,90.77,4/4,207/276,0.00,0.0,0,0.0,none,clip,confidence,both_prior,0.5,0.2,15,0.9,20,0.5,-1.0,True,none,0.5,0.05,2,reversible,0.05,0.25,True,none,0,0.0,stable,2,reversible,1,0.0,False,0.75,1,False,0.0,0.2,3,0.0,True,blend,0.3,1,1.0,False,0.99,0.3,-2.0,,False,[2| 3| 4],16,5,2,0.3,-2.0,,16,True,1,1.0,0.05,-2.0,0.005959,0.070114,0.4,999,False,15,0.5,dynamic,0.6,0.1,2,persistent,both,hard_label,output/uda/office-home/CR/temporal_precision_head_seed2022_pair_feature_probe/temporal_precision_head_pair_feature_260719_113718.txt
temporal_precision_head_seed2022_pair_feature_probe,PA,standard,peak,4/4,114/152,82.49,82.49,4/4,152/152,82.49,4/4,114/152,0.00,0.0,0,0.0,none,clip,confidence,both_prior,0.5,0.2,15,0.9,20,0.5,-1.0,True,none,0.5,0.05,2,reversible,0.05,0.25,True,none,0,0.0,stable,2,reversible,1,0.0,False,0.75,1,False,0.0,0.2,3,0.0,True,blend,0.3,1,1.0,False,0.99,0.3,-2.0,,False,[2| 3| 4],16,5,2,0.3,-2.0,,2,True,1,1.0,0.05,-2.0,0.005961,0.022654,0.4,999,False,15,0.5,dynamic,0.6,0.1,2,persistent,both,hard_label,output/uda/office-home/PA/temporal_precision_head_seed2022_pair_feature_probe/temporal_precision_head_pair_feature_260719_115233.txt
temporal_precision_head_seed2022_pair_feature_probe,PC,standard,peak,4/4,69/276,73.65,73.42,4/4,276/276,73.65,4/4,69/276,0.23,0.0,0,0.0,none,clip,confidence,both_prior,0.5,0.2,15,0.9,20,0.5,-1.0,True,none,0.5,0.05,2,reversible,0.05,0.25,True,none,0,0.0,stable,2,reversible,1,0.0,False,0.75,1,False,0.0,0.2,3,0.0,True,blend,0.3,1,1.0,False,0.99,0.3,-2.0,,False,[2| 3| 4],16,5,2,0.3,-2.0,,9,True,1,1.0,0.05,-2.0,0.005961,0.056280,0.4,999,False,15,0.5,dynamic,0.6,0.1,2,persistent,both,hard_label,output/uda/office-home/PC/temporal_precision_head_seed2022_pair_feature_probe/temporal_precision_head_pair_feature_260719_115638.txt
temporal_precision_head_seed2022_pair_feature_probe,PR,standard,peak,4/4,207/276,90.73,90.68,4/4,276/276,90.73,4/4,207/276,0.05,0.0,0,0.0,none,clip,confidence,both_prior,0.5,0.2,15,0.9,20,0.5,-1.0,True,none,0.5,0.05,2,reversible,0.05,0.25,True,none,0,0.0,stable,2,reversible,1,0.0,False,0.75,1,False,0.0,0.2,3,0.0,True,blend,0.3,1,1.0,False,0.99,0.3,-2.0,,False,[2| 3| 4],16,5,2,0.3,-2.0,,14,True,1,1.0,0.05,-2.0,0.005958,0.064612,0.4,999,False,15,0.5,dynamic,0.6,0.1,2,persistent,both,hard_label,output/uda/office-home/PR/temporal_precision_head_seed2022_pair_feature_probe/temporal_precision_head_pair_feature_260719_120112.txt
temporal_precision_head_seed2022_pair_feature_probe,RA,standard,peak,4/4,38/152,83.07,82.98,4/4,152/152,83.07,4/4,38/152,0.09,0.0,0,0.0,none,clip,confidence,both_prior,0.5,0.2,15,0.9,20,0.5,-1.0,True,none,0.5,0.05,2,reversible,0.05,0.25,True,none,0,0.0,stable,2,reversible,1,0.0,False,0.75,1,False,0.0,0.2,3,0.0,True,blend,0.3,1,1.0,False,0.99,0.3,-2.0,,False,[2| 3| 4],16,5,2,0.3,-2.0,,1,True,1,1.0,0.05,-2.0,0.005960,0.012587,0.4,999,False,15,0.5,dynamic,0.6,0.1,2,persistent,both,hard_label,output/uda/office-home/RA/temporal_precision_head_seed2022_pair_feature_probe/temporal_precision_head_pair_feature_260719_121635.txt
